CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Murder,12.0,,12.0,14.0,2.0,,,,,16.0,,AREA-A LION BUILDING,2018
Manslaughter,3.0,,3.0,3.0,,,,,,3.0,,AREA-A LION BUILDING,2018
Attempted Murder,2.0,,2.0,3.0,,,,,,,,AREA-A LION BUILDING,2018
Suicide,6.0,,6.0,,,,,,,6.0,,AREA-A LION BUILDING,2018
Attempted Suicide,4.0,,4.0,4.0,,,,,,,,AREA-A LION BUILDING,2018
Grievous Harm and Wounding,359.0,41.0,318.0,371.0,19.0,5.0,1.0,,,,7.0,AREA-A LION BUILDING,2018
Assaults,557.0,62.0,495.0,566.0,28.0,5.0,1.0,,,,8.0,AREA-A LION BUILDING,2018
Child stealing,10.0,1.0,9.0,11.0,,,,,,,,AREA-A LION BUILDING,2018
Slave Dealing,3.0,,3.0,5.0,,,,,,,,AREA-A LION BUILDING,2018
Rape and Incident Assault,44.0,2.0,42.0,49.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Kidnapping,,,,,,,,,,,,AREA-A LION BUILDING,2018
Unnatural Offences,29.0,3.0,26.0,36.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Other Offences,183.0,20.0,163.0,198.0,9.0,2.0,,,,1.0,20.0,AREA-A LION BUILDING,2018
Armed Robbery,1.0,,1.0,4.0,1.0,,,,,1.0,,AREA-A LION BUILDING,2018
Demanding With Menance,1.0,,1.0,2.0,,,,,,,,AREA-A LION BUILDING,2018
Theft and other Stealing,848.0,70.0,778.0,918.0,34.0,6.0,1.0,,,1.0,6.0,AREA-A LION BUILDING,2018
Burglary,84.0,5.0,79.0,95.0,,,,,,,,AREA-A LION BUILDING,2018
House Breaking,49.0,3.0,46.0,61.0,,5.0,,,,,,AREA-A LION BUILDING,2018
Store Breaking,29.0,1.0,28.0,38.0,,,,,,,,AREA-A LION BUILDING,2018
"False Pretences, Cheating",318.0,31.0,287.0,326.0,15.0,2.0,,,,,6.0,AREA-A LION BUILDING,2018
Forgery,19.0,1.0,18.0,22.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Receiving Stolen Property,12.0,1.0,11.0,16.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Unlawful Possession,60.0,4.0,56.0,71.0,4.0,,,,,,,AREA-A LION BUILDING,2018
Arson,15.0,4.0,11.0,17.0,1.0,1.0,,,,,,AREA-A LION BUILDING,2018
Other Offences,152.0,14.0,138.0,167.0,10.0,1.0,1.0,,,,1.0,AREA-A LION BUILDING,2018
Forgery of Currency Notes,6.0,,6.0,9.0,2.0,,,,,,,AREA-A LION BUILDING,2018
Coining Offences,2.0,,2.0,4.0,,,,,,,,AREA-A LION BUILDING,2018
Gambling,3.0,,3.0,4.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Breach of Public Peace,370.0,41.0,329.0,381.0,16.0,2.0,2.0,,,1.0,4.0,AREA-A LION BUILDING,2018
Perjury,1.0,,1.0,2.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2018
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2018
Other Offences,30.0,2.0,28.0,36.0,2.0,,,,,,,AREA-A LION BUILDING,2018
Offences Against Traffic Acts,12.0,2.0,10.0,12.0,1.0,,,,,,,AREA-A LION BUILDING,2018
Offences Against Township Acts,2.0,1.0,1.0,2.0,,,,,,,,AREA-A LION BUILDING,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-A LION BUILDING,2018
Offences Against Dog Acts,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2018
Offences Against Fire Arms Acts,1.0,,1.0,1.0,,,,,,,,AREA-A LION BUILDING,2018
Narcotics,,,,,,,,,,,,AREA-A LION BUILDING,2018
Other Offences,,,,,,,,,,,,AREA-A LION BUILDING,2018
Murder,20.0,,20.0,21.0,2.0,,,,,20.0,,AREA-B APAPA,2018
Manslaughter,4.0,,4.0,5.0,,,,,,4.0,,AREA-B APAPA,2018
Attempted Murder,3.0,,3.0,2.0,1.0,,,,,3.0,,AREA-B APAPA,2018
Suicide,5.0,2.0,3.0,2.0,1.0,,,,,,,AREA-B APAPA,2018
Attempted Suicide,5.0,,5.0,5.0,,,,,,,,AREA-B APAPA,2018
Grievous Harm and Wounding,362.0,42.0,320.0,373.0,20.0,,,,,,8.0,AREA-B APAPA,2018
Assaults,560.0,64.0,496.0,567.0,30.0,,,,,,10.0,AREA-B APAPA,2018
Child stealing,11.0,2.0,9.0,13.0,2.0,,,,,,,AREA-B APAPA,2018
Slave Dealing,4.0,1.0,3.0,6.0,2.0,,,,,,,AREA-B APAPA,2018
Rape and Incident Assault,46.0,5.0,41.0,,48.0,6.0,,,,,,AREA-B APAPA,2018
Kidnapping,,,,,,,,,,,,AREA-B APAPA,2018
Unnatural Offences,32.0,4.0,28.0,38.0,2.0,,,,,,,AREA-B APAPA,2018
Other Offences,184.0,25.0,159.0,190.0,10.0,3.0,2.0,,,,,AREA-B APAPA,2018
Armed Robbery,2.0,,2.0,6.0,2.0,,,,,2.0,,AREA-B APAPA,2018
Demanding With Menance,2.0,,2.0,3.0,,,,,,,,AREA-B APAPA,2018
Theft and other Stealing,852.0,73.0,779.0,920.0,36.0,9.0,2.0,1.0,,2.0,8.0,AREA-B APAPA,2018
Burglary,90.0,2.0,88.0,96.0,2.0,,,,,,,AREA-B APAPA,2018
House Breaking,52.0,4.0,48.0,60.0,,,,,,,,AREA-B APAPA,2018
Store Breaking,33.0,1.0,32.0,38.0,,,,,,,,AREA-B APAPA,2018
"False Pretences, Cheating",322.0,40.0,282.0,332.0,18.0,5.0,4.0,,,,10.0,AREA-B APAPA,2018
Forgery,22.0,2.0,20.0,24.0,3.0,,,,,,,AREA-B APAPA,2018
Receiving Stolen Property,14.0,2.0,12.0,18.0,3.0,,,,,,,AREA-B APAPA,2018
Unlawful Possession,60.0,4.0,56.0,71.0,4.0,,,,,,,AREA-B APAPA,2018
Arson,15.0,4.0,11.0,17.0,4.0,,,,,,,AREA-B APAPA,2018
Other Offences,159.0,21.0,138.0,160.0,18.0,1.0,,,,5.0,4.0,AREA-B APAPA,2018
Forgery of Currency Notes,10.0,,10.0,11.0,2.0,,,,,,,AREA-B APAPA,2018
Coining Offences,1.0,,1.0,2.0,,,,,,,,AREA-B APAPA,2018
Gambling,6.0,,6.0,8.0,,,,,,,,AREA-B APAPA,2018
Breach of Public Peace,380.0,51.0,329.0,380.0,20.0,4.0,,,,,8.0,AREA-B APAPA,2018
Perjury,3.0,,3.0,4.0,,,,,,,,AREA-B APAPA,2018
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-B APAPA,2018
Escape from Lawful Custody,2.0,,2.0,2.0,,,,,,,,AREA-B APAPA,2018
Other Offences,33.0,8.0,25.0,36.0,2.0,,,,,,,AREA-B APAPA,2018
Offences Against Traffic Acts,15.0,,15.0,13.0,3.0,,,,,,,AREA-B APAPA,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-B APAPA,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-B APAPA,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-B APAPA,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-B APAPA,2018
Narcotics,,,,,,,,,,,,AREA-B APAPA,2018
Other Offences,,,,,,,,,,,,AREA-B APAPA,2018
Murder,10.0,,10.0,15.0,,,,,,10.0,,AREA-C SURULERE,2018
Manslaughter,2.0,,2.0,5.0,4.0,,,,,2.0,,AREA-C SURULERE,2018
Attempted Murder,3.0,,3.0,2.0,1.0,,,,,3.0,,AREA-C SURULERE,2018
Suicide,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2018
Attempted Suicide,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2018
Grievous Harm and Wounding,367.0,45.0,322.0,380.0,22.0,,,,,,10.0,AREA-C SURULERE,2018
Assaults,495.0,60.0,435.0,450.0,35.0,7.0,3.0,5.0,,,15.0,AREA-C SURULERE,2018
Child stealing,12.0,1.0,11.0,10.0,3.0,,,,,,,AREA-C SURULERE,2018
Slave Dealing,6.0,1.0,5.0,5.0,2.0,,,,,,,AREA-C SURULERE,2018
Rape and Incident Assault,49.0,8.0,41.0,50.0,3.0,,,,,,,AREA-C SURULERE,2018
Kidnapping,,,,,,,,,,,,AREA-C SURULERE,2018
Unnatural Offences,37.0,4.0,33.0,40.0,3.0,5.0,,,,,,AREA-C SURULERE,2018
Other Offences,190.0,27.0,163.0,200.0,10.0,7.0,2.0,,,,,AREA-C SURULERE,2018
Armed Robbery,2.0,,2.0,5.0,1.0,,,,,3.0,,AREA-C SURULERE,2018
Demanding With Menance,3.0,,3.0,4.0,,,,,,,,AREA-C SURULERE,2018
Theft and other Stealing,851.0,71.0,780.0,890.0,41.0,12.0,2.0,1.0,,2.0,,AREA-C SURULERE,2018
Burglary,82.0,16.0,66.0,90.0,,,,,,,,AREA-C SURULERE,2018
House Breaking,40.0,3.0,37.0,55.0,,,,,,,,AREA-C SURULERE,2018
Store Breaking,32.0,4.0,28.0,35.0,,,,,,,,AREA-C SURULERE,2018
"False Pretences, Cheating",300.0,30.0,270.0,312.0,20.0,7.0,,,,,8.0,AREA-C SURULERE,2018
Forgery,25.0,3.0,22.0,26.0,3.0,,,,,,,AREA-C SURULERE,2018
Receiving Stolen Property,11.0,4.0,7.0,12.0,6.0,,,,,,,AREA-C SURULERE,2018
Unlawful Possession,55.0,4.0,51.0,71.0,4.0,4.0,,,,,,AREA-C SURULERE,2018
Arson,10.0,3.0,7.0,12.0,1.0,1.0,,,,,,AREA-C SURULERE,2018
Other Offences,148.0,14.0,134.0,160.0,8.0,1.0,,,,,6.0,AREA-C SURULERE,2018
Forgery of Currency Notes,2.0,,2.0,4.0,1.0,,,,,,,AREA-C SURULERE,2018
Coining Offences,2.0,,2.0,4.0,,,,,,,,AREA-C SURULERE,2018
Gambling,1.0,,1.0,2.0,,,,,,,,AREA-C SURULERE,2018
Breach of Public Peace,340.0,42.0,298.0,350.0,18.0,2.0,,,,,3.0,AREA-C SURULERE,2018
Perjury,3.0,,3.0,4.0,,,,,,,,AREA-C SURULERE,2018
Bribery and Corruption,2.0,,2.0,2.0,,,,,,,,AREA-C SURULERE,2018
Escape from Lawful Custody,1.0,,1.0,1.0,,,,,,,,AREA-C SURULERE,2018
Other Offences,25.0,5.0,20.0,28.0,2.0,,,,,,,AREA-C SURULERE,2018
Offences Against Traffic Acts,10.0,,10.0,12.0,1.0,,,,,,,AREA-C SURULERE,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-C SURULERE,2018
Narcotics,,,,,,,,,,,,AREA-C SURULERE,2018
Other Offences,,,,,,,,,,,,AREA-C SURULERE,2018
Murder,59.0,,59.0,55.0,5.0,,,,,59.0,,AREA-D MUSHIN,2018
Manslaughter,15.0,,15.0,16.0,,,,,,15.0,,AREA-D MUSHIN,2018
Attempted Murder,17.0,2.0,15.0,,,,,,,15.0,,AREA-D MUSHIN,2018
Suicide,20.0,,20.0,20.0,,,,,,,,AREA-D MUSHIN,2018
Attempted Suicide,580.0,55.0,525.0,445.0,90.0,10.0,5.0,,,7.0,20.0,AREA-D MUSHIN,2018
Grievous Harm and Wounding,621.0,70.0,551.0,540.0,28.0,15.0,3.0,,,7.0,35.0,AREA-D MUSHIN,2018
Assaults,10.0,,10.0,10.0,,,,,,,,AREA-D MUSHIN,2018
Child stealing,15.0,3.0,13.0,12.0,3.0,,,,,,,AREA-D MUSHIN,2018
Slave Dealing,13.0,,13.0,9.0,4.0,,,,,,,AREA-D MUSHIN,2018
Rape and Incident Assault,65.0,12.0,53.0,56.0,5.0,,,,,,,AREA-D MUSHIN,2018
Kidnapping,,,,,,,,,,,,AREA-D MUSHIN,2018
Unnatural Offences,62.0,9.0,53.0,60.0,4.0,,,,,,,AREA-D MUSHIN,2018
Other Offences,301.0,32.0,269.0,268.0,34.0,12.0,1.0,2.0,,,,AREA-D MUSHIN,2018
Armed Robbery,3.0,,3.0,10.0,3.0,,,,,5.0,,AREA-D MUSHIN,2018
Demanding With Menance,7.0,,7.0,8.0,,,,,,,,AREA-D MUSHIN,2018
Theft and other Stealing,1235.0,102.0,1133.0,1300.0,104.0,16.0,4.0,,,1.0,25.0,AREA-D MUSHIN,2018
Burglary,224.0,20.0,204.0,235.0,3.0,,,,,,,AREA-D MUSHIN,2018
House Breaking,148.0,13.0,135.0,153.0,,,,,,,,AREA-D MUSHIN,2018
Store Breaking,119.0,,119.0,130.0,,,,,,,,AREA-D MUSHIN,2018
"False Pretences, Cheating",1519.0,142.0,1377.0,1635.0,65.0,6.0,,,,,20.0,AREA-D MUSHIN,2018
Forgery,99.0,6.0,93.0,108.0,5.0,,,,,,,AREA-D MUSHIN,2018
Receiving Stolen Property,47.0,,47.0,67.0,7.0,,,,,,,AREA-D MUSHIN,2018
Unlawful Possession,170.0,14.0,156.0,185.0,18.0,,,,,,,AREA-D MUSHIN,2018
Arson,70.0,15.0,55.0,90.0,6.0,,,,,,,AREA-D MUSHIN,2018
Other Offences,680.0,54.0,626.0,830.0,32.0,5.0,,,,,6.0,AREA-D MUSHIN,2018
Forgery of Currency Notes,24.0,,24.0,38.0,5.0,,,,,,,AREA-D MUSHIN,2018
Coining Offences,2.0,,2.0,4.0,,,,,,,,AREA-D MUSHIN,2018
Gambling,15.0,,15.0,25.0,,,,,,,,AREA-D MUSHIN,2018
Breach of Public Peace,1280.0,75.0,,1320.0,68.0,9.0,,,,,18.0,AREA-D MUSHIN,2018
Perjury,10.0,,10.0,15.0,,,,,,,,AREA-D MUSHIN,2018
Bribery and Corruption,1.0,,1.0,2.0,,,,,,,,AREA-D MUSHIN,2018
Escape from Lawful Custody,4.0,,4.0,6.0,,,,,,,,AREA-D MUSHIN,2018
Other Offences,138.0,7.0,,168.0,16.0,,,,,,,AREA-D MUSHIN,2018
Offences Against Traffic Acts,85.0,,85.0,85.0,2.0,,,,,,,AREA-D MUSHIN,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Offences Against Liquor Acts,2.0,,2.0,2.0,,,,,,,,AREA-D MUSHIN,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-D MUSHIN,2018
Narcotics,,,,,,,,,,,,AREA-D MUSHIN,2018
Other Offences,,,,,,,,,,,,AREA-D MUSHIN,2018
Murder,15.0,,15.0,20.0,,,,,,15.0,,AREA-E FESTAC,2018
Manslaughter,4.0,,4.0,4.0,,,,,,4.0,,AREA-E FESTAC,2018
Attempted Murder,4.0,,4.0,6.0,,,,,,,,AREA-E FESTAC,2018
Suicide,10.0,3.0,7.0,,,,,,,7.0,,AREA-E FESTAC,2018
Attempted Suicide,15.0,3.0,12.0,13.0,,,,,,,,AREA-E FESTAC,2018
Grievous Harm and Wounding,369.0,70.0,299.0,335.0,22.0,8.0,4.0,3.0,,,15.0,AREA-E FESTAC,2018
Assaults,573.0,78.0,495.0,602.0,38.0,15.0,6.0,,,,12.0,AREA-E FESTAC,2018
Child stealing,15.0,2.0,13.0,18.0,1.0,,,,,,,AREA-E FESTAC,2018
Slave Dealing,7.0,,7.0,8.0,,,,,,,,AREA-E FESTAC,2018
Rape and Incident Assault,59.0,4.0,55.0,75.0,,,,,,,,AREA-E FESTAC,2018
Kidnapping,,,,,,,,,,,,AREA-E FESTAC,2018
Unnatural Offences,60.0,8.0,52.0,62.0,3.0,,,,,,,AREA-E FESTAC,2018
Other Offences,306.0,26.0,280.0,6.0,15.0,3.0,,,,,,AREA-E FESTAC,2018
Armed Robbery,1.0,,1.0,19.0,1.0,,,,,3.0,,AREA-E FESTAC,2018
Demanding With Menance,3.0,,3.0,3.0,,,,,,,,AREA-E FESTAC,2018
Theft and other Stealing,920.0,63.0,857.0,1100.0,40.0,15.0,2.0,,,,,AREA-E FESTAC,2018
Burglary,70.0,8.0,62.0,72.0,2.0,,,,,,,AREA-E FESTAC,2018
House Breaking,50.0,5.0,45.0,55.0,,,,,,,,AREA-E FESTAC,2018
Store Breaking,30.0,1.0,29.0,40.0,,,,,,,,AREA-E FESTAC,2018
"False Pretences, Cheating",280.0,23.0,257.0,300.0,10.0,1.0,,,,,3.0,AREA-E FESTAC,2018
Forgery,25.0,2.0,23.0,29.0,1.0,,,,,,,AREA-E FESTAC,2018
Receiving Stolen Property,15.0,,15.0,20.0,2.0,,,,,,,AREA-E FESTAC,2018
Unlawful Possession,90.0,8.0,82.0,108.0,5.0,,,,,,,AREA-E FESTAC,2018
Arson,21.0,3.0,18.0,23.0,3.0,,,,,,,AREA-E FESTAC,2018
Other Offences,240.0,19.0,221.0,286.0,17.0,2.0,,,,,4.0,AREA-E FESTAC,2018
Forgery of Currency Notes,18.0,,18.0,26.0,,,,,,,,AREA-E FESTAC,2018
Coining Offences,,,,,,,,,,,,AREA-E FESTAC,2018
Gambling,8.0,,8.0,12.0,,,,,,,,AREA-E FESTAC,2018
Breach of Public Peace,820.0,85.0,735.0,900.0,18.0,4.0,,,,,5.0,AREA-E FESTAC,2018
Perjury,4.0,,4.0,5.0,,,,,,,,AREA-E FESTAC,2018
Bribery and Corruption,,,,,,,,,,,,AREA-E FESTAC,2018
Escape from Lawful Custody,1.0,,1.0,2.0,,,,,,,,AREA-E FESTAC,2018
Other Offences,56.0,2.0,54.0,78.0,4.0,,,,,,,AREA-E FESTAC,2018
Offences Against Traffic Acts,22.0,,22.0,18.0,,,,,,,,AREA-E FESTAC,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-E FESTAC,2018
Narcotics,,,,,,,,,,,,AREA-E FESTAC,2018
Other Offences,,,,,,,,,,,,AREA-E FESTAC,2018
Murder,10.0,,10.0,15.0,,,,,,10.0,,AREA-F IKEJA,2018
Manslaughter,3.0,,3.0,3.0,,,,,,2.0,,AREA-F IKEJA,2018
Attempted Murder,2.0,,2.0,2.0,,,,,,5.0,,AREA-F IKEJA,2018
Suicide,6.0,1.0,5.0,,,,,,,,,AREA-F IKEJA,2018
Attempted Suicide,5.0,1.0,4.0,4.0,,,,,,,,AREA-F IKEJA,2018
Grievous Harm and Wounding,400.0,33.0,367.0,430.0,19.0,12.0,4.0,4.0,,,5.0,AREA-F IKEJA,2018
Assaults,380.0,49.0,331.0,400.0,30.0,8.0,3.0,,,,10.0,AREA-F IKEJA,2018
Child stealing,12.0,1.0,11.0,14.0,,,,,,,,AREA-F IKEJA,2018
Slave Dealing,4.0,,4.0,8.0,,,,,,,,AREA-F IKEJA,2018
Rape and Incident Assault,60.0,1.0,59.0,65.0,,,,,,,,AREA-F IKEJA,2018
Kidnapping,,,,,,,,,,,,AREA-F IKEJA,2018
Unnatural Offences,47.0,8.0,39.0,56.0,1.0,,,,,,,AREA-F IKEJA,2018
Other Offences,180.0,12.0,168.0,200.0,7.0,3.0,,,,,,AREA-F IKEJA,2018
Armed Robbery,,,,,,,,,,,,AREA-F IKEJA,2018
Demanding With Menance,1.0,,1.0,1.0,,,,,,,,AREA-F IKEJA,2018
Theft and other Stealing,697.0,68.0,629.0,860.0,30.0,5.0,2.0,,,,10.0,AREA-F IKEJA,2018
Burglary,76.0,14.0,62.0,86.0,,,,,,,,AREA-F IKEJA,2018
House Breaking,38.0,3.0,35.0,55.0,,,,,,,,AREA-F IKEJA,2018
Store Breaking,20.0,1.0,19.0,30.0,,,,,,,,AREA-F IKEJA,2018
"False Pretences, Cheating",220.0,18.0,202.0,210.0,10.0,1.0,,,,,,AREA-F IKEJA,2018
Forgery,15.0,3.0,12.0,13.0,2.0,,,,,,,AREA-F IKEJA,2018
Receiving Stolen Property,8.0,,8.0,10.0,2.0,,,,,,,AREA-F IKEJA,2018
Unlawful Possession,45.0,4.0,41.0,56.0,4.0,,,,,,,AREA-F IKEJA,2018
Arson,2.0,,2.0,3.0,1.0,,,,,,,AREA-F IKEJA,2018
Other Offences,84.0,10.0,74.0,85.0,7.0,2.0,,,,,,AREA-F IKEJA,2018
Forgery of Currency Notes,6.0,,6.0,8.0,,,,,,,,AREA-F IKEJA,2018
Coining Offences,,,,,,,,,,,,AREA-F IKEJA,2018
Gambling,3.0,,3.0,4.0,,,,,,,,AREA-F IKEJA,2018
Breach of Public Peace,202.0,32.0,170.0,200.0,12.0,2.0,,,,,,AREA-F IKEJA,2018
Perjury,1.0,,1.0,2.0,,,,,,,,AREA-F IKEJA,2018
Bribery and Corruption,,,,,,,,,,,,AREA-F IKEJA,2018
Escape from Lawful Custody,,,,,,,,,,,,AREA-F IKEJA,2018
Other Offences,10.0,,10.0,15.0,2.0,,,,,,,AREA-F IKEJA,2018
Offences Against Traffic Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Township Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Liquor Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Dog Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-F IKEJA,2018
Narcotics,,,,,,,,,,,,AREA-F IKEJA,2018
Other Offences,,,,,,,,,,,,AREA-F IKEJA,2018
Murder,8.0,,8.0,10.0,,,,,,8.0,,AREA-G OGBA,2018
Manslaughter,2.0,,2.0,2.0,,,,,,2.0,,AREA-G OGBA,2018
Attempted Murder,4.0,,4.0,4.0,,,,,,,,AREA-G OGBA,2018
Suicide,10.0,2.0,8.0,,,,,,,9.0,,AREA-G OGBA,2018
Attempted Suicide,2.0,1.0,1.0,1.0,,,,,,,,AREA-G OGBA,2018
